,precision,recall,f1-score,support
0,0.9908536585365854,0.9948979591836735,0.9928716904276986,980.0
1,0.9955947136563876,0.9955947136563876,0.9955947136563876,1135.0
2,0.9903474903474904,0.9941860465116279,0.9922630560928434,1032.0
3,0.9891089108910891,0.9891089108910891,0.9891089108910891,1010.0
4,0.9948717948717949,0.9877800407331976,0.9913132345426674,982.0
5,0.986562150055991,0.9876681614349776,0.9871148459383754,892.0
6,0.9947257383966245,0.9843423799582464,0.9895068205666316,958.0
7,0.9825918762088974,0.9883268482490273,0.98545101842871,1028.0
8,0.9806910569105691,0.9907597535934292,0.9856996935648621,974.0
9,0.988011988011988,0.9801783944499505,0.9840796019900497,1009.0
accuracy,0.9894,0.9894,0.9894,0.9894
macro avg,0.9893359377887417,0.9892843208661606,0.9893003586099315,10000.0
weighted avg,0.9894201627280212,0.9894,0.989400477039257,10000.0
