sample_index,true_label,predicted_label,confidence,correct,confidence_band
0,7,7,1.0,True,high
1,2,2,0.9999985694885254,True,high
2,1,1,0.9999991655349731,True,high
3,0,0,0.9999984502792358,True,high
4,4,4,0.999995231628418,True,high
5,1,1,0.9999996423721313,True,high
6,4,4,0.9992883801460266,True,high
7,9,9,0.9996019005775452,True,high
8,5,5,0.9858790040016174,True,high
9,9,9,0.999906063079834,True,high
10,0,0,0.9999998807907104,True,high
11,6,6,0.9999992847442627,True,high
12,9,9,0.9999524354934692,True,high
13,0,0,1.0,True,high
14,1,1,1.0,True,high
15,5,5,0.999936580657959,True,high
16,9,9,0.999984860420227,True,high
17,7,7,1.0,True,high
18,3,3,0.6348002552986145,True,low
19,4,4,0.9999984502792358,True,high
20,9,9,0.9976244568824768,True,high
21,6,6,0.9999445676803589,True,high
22,6,6,0.9999992847442627,True,high
23,5,5,1.0,True,high
24,4,4,0.9999945163726807,True,high
25,0,0,1.0,True,high
26,7,7,0.9999984502792358,True,high
27,4,4,1.0,True,high
28,0,0,0.9999995231628418,True,high
29,1,1,0.9999951124191284,True,high
30,3,3,1.0,True,high
31,1,1,0.9999719858169556,True,high
32,3,3,0.9999998807907104,True,high
33,4,4,0.9995850920677185,True,high
34,7,7,0.9999991655349731,True,high
35,2,2,0.9999991655349731,True,high
36,7,7,0.9956023693084717,True,high
37,1,1,0.9999996423721313,True,high
38,2,2,0.9997132420539856,True,high
39,1,1,0.9999996423721313,True,high
40,1,1,0.9999843835830688,True,high
41,7,7,0.9981756210327148,True,high
42,4,4,0.9999992847442627,True,high
43,2,2,0.9999510049819946,True,high
44,3,3,0.9998140931129456,True,high
45,5,5,0.9999972581863403,True,high
46,1,1,0.9999008178710938,True,high
47,2,2,1.0,True,high
48,4,4,0.9999760389328003,True,high
49,4,4,0.9999994039535522,True,high
50,6,6,0.9999994039535522,True,high
51,3,3,0.9999953508377075,True,high
52,5,5,0.9999998807907104,True,high
53,5,5,1.0,True,high
54,6,6,1.0,True,high
55,0,0,0.9999997615814209,True,high
56,4,4,1.0,True,high
57,1,1,0.9999992847442627,True,high
58,9,9,0.9999967813491821,True,high
59,5,5,0.9996788501739502,True,high
60,7,7,0.9999493360519409,True,high
61,8,8,0.9999991655349731,True,high
62,9,9,0.5304740071296692,True,low
63,3,3,0.9997614026069641,True,high
64,7,7,0.999995231628418,True,high
65,4,4,0.9997740387916565,True,high
66,6,6,0.9999585151672363,True,high
67,4,4,0.9999301433563232,True,high
68,3,3,1.0,True,high
69,0,0,0.9999978542327881,True,high
70,7,7,0.9999998807907104,True,high
71,0,0,1.0,True,high
72,2,2,0.9999111890792847,True,high
73,9,9,0.973188579082489,True,high
74,1,1,0.9999996423721313,True,high
75,7,7,0.9999915361404419,True,high
76,3,3,0.9999995231628418,True,high
77,2,2,0.9998016953468323,True,high
78,9,9,0.9897115230560303,True,high
79,7,7,0.9999984502792358,True,high
80,7,7,0.9999264478683472,True,high
81,6,6,0.9999947547912598,True,high
82,2,2,1.0,True,high
83,7,7,0.9999997615814209,True,high
84,8,8,0.9999995231628418,True,high
85,4,4,0.9999992847442627,True,high
86,7,7,0.999998927116394,True,high
87,3,3,0.9996615648269653,True,high
88,6,6,1.0,True,high
89,1,1,0.9999908208847046,True,high
90,3,3,0.9999997615814209,True,high
91,6,6,1.0,True,high
92,9,9,0.996052622795105,True,high
93,3,3,0.999943733215332,True,high
94,1,1,0.9999985694885254,True,high
95,4,4,0.9844815731048584,True,high
96,1,1,0.9909754395484924,True,high
97,7,7,0.9999017715454102,True,high
98,6,6,0.9999673366546631,True,high
99,9,9,0.9999998807907104,True,high
100,6,6,0.999998927116394,True,high
101,0,0,0.9999998807907104,True,high
102,5,5,0.9999997615814209,True,high
103,4,4,1.0,True,high
104,9,9,0.9994557499885559,True,high
105,9,9,0.9999995231628418,True,high
106,2,2,0.9999936819076538,True,high
107,1,1,0.9999054670333862,True,high
108,9,9,0.9999873638153076,True,high
109,4,4,1.0,True,high
110,8,8,0.999998927116394,True,high
111,7,7,0.9963525533676147,True,high
112,3,3,0.999998927116394,True,high
113,9,9,0.9999984502792358,True,high
114,7,7,0.9998750686645508,True,high
115,4,4,0.9857892394065857,True,high
116,4,4,0.9999986886978149,True,high
117,4,4,0.9999998807907104,True,high
118,9,9,0.9987868666648865,True,high
119,2,2,0.9981474876403809,True,high
120,5,5,0.9999998807907104,True,high
121,4,4,0.9998406171798706,True,high
122,7,7,0.9999861717224121,True,high
123,6,6,1.0,True,high
124,7,7,0.9997203946113586,True,high
125,9,9,0.988512396812439,True,high
126,0,0,0.9999867677688599,True,high
127,5,5,1.0,True,high
128,8,8,0.9999998807907104,True,high
129,5,5,1.0,True,high
130,6,6,0.9999994039535522,True,high
131,6,6,1.0,True,high
132,5,5,0.9999988079071045,True,high
133,7,7,0.9999889135360718,True,high
134,8,8,0.9999995231628418,True,high
135,1,1,1.0,True,high
136,0,0,0.9999825954437256,True,high
137,1,1,0.9999966621398926,True,high
138,6,6,1.0,True,high
139,4,4,0.9998273849487305,True,high
140,6,6,0.9999992847442627,True,high
141,7,7,0.9999997615814209,True,high
142,3,3,0.9999955892562866,True,high
143,1,1,1.0,True,high
144,7,7,0.9998636245727539,True,high
145,1,1,0.9999935626983643,True,high
146,8,8,0.9999995231628418,True,high
147,2,2,1.0,True,high
148,0,0,1.0,True,high
149,2,2,0.9814159870147705,True,high
150,9,9,0.9999994039535522,True,high
151,9,9,0.9985476136207581,True,high
152,5,5,0.9999996423721313,True,high
153,5,5,0.9999983310699463,True,high
154,1,1,0.9999991655349731,True,high
155,5,5,1.0,True,high
156,6,6,0.9999997615814209,True,high
157,0,0,0.9999988079071045,True,high
158,3,3,0.9994334578514099,True,high
159,4,4,0.9999858140945435,True,high
160,4,4,0.9941018223762512,True,high
161,6,6,1.0,True,high
162,5,5,1.0,True,high
163,4,4,0.9999998807907104,True,high
164,6,6,0.9999995231628418,True,high
165,5,5,1.0,True,high
166,4,4,0.9999996423721313,True,high
167,5,5,0.9989001750946045,True,high
168,1,1,0.9999998807907104,True,high
169,4,4,1.0,True,high
170,4,4,1.0,True,high
171,7,7,0.9995362758636475,True,high
172,2,2,0.9999932050704956,True,high
173,3,3,0.9999827146530151,True,high
174,2,2,0.9999995231628418,True,high
175,7,7,0.894342303276062,True,medium
176,1,1,0.9999946355819702,True,high
177,8,8,0.9998120665550232,True,high
178,1,1,1.0,True,high
179,8,8,0.9999980926513672,True,high
180,1,1,0.9999996423721313,True,high
181,8,8,0.9999961853027344,True,high
