digit,support,accuracy,precision,recall,f1_score,average_confidence
0,980,0.9948979591836735,0.9908536585365854,0.9948979591836735,0.9928716904276986,0.9962688684463501
1,1135,0.9955947136563876,0.9955947136563876,0.9955947136563876,0.9955947136563876,0.9945693016052246
2,1032,0.9941860465116279,0.9903474903474904,0.9941860465116279,0.9922630560928434,0.9886952042579651
3,1010,0.9891089108910891,0.9891089108910891,0.9891089108910891,0.9891089108910891,0.9916693568229675
4,982,0.9877800407331976,0.9948717948717949,0.9877800407331976,0.9913132345426674,0.9874999523162842
5,892,0.9876681614349776,0.986562150055991,0.9876681614349776,0.9871148459383754,0.9922900199890137
6,958,0.9843423799582464,0.9947257383966245,0.9843423799582464,0.9895068205666316,0.9885911345481873
7,1028,0.9883268482490273,0.9825918762088974,0.9883268482490273,0.98545101842871,0.9875332117080688
8,974,0.9907597535934292,0.9806910569105691,0.9907597535934292,0.9856996935648621,0.9920753240585327
9,1009,0.9801783944499505,0.988011988011988,0.9801783944499505,0.9840796019900497,0.9814425110816956
